Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+01 = <U> 
     mmp83 = radfield
 4.468E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.117E+02  2.653E-23  7.861E-14
1.107E+02  2.685E-23  7.881E-14
1.096E+02  2.716E-23  7.899E-14
1.086E+02  2.747E-23  7.916E-14
1.076E+02  2.778E-23  7.932E-14
1.067E+02  2.808E-23  7.945E-14
1.057E+02  2.839E-23  7.957E-14
1.047E+02  2.868E-23  7.967E-14
1.038E+02  2.898E-23  7.975E-14
1.028E+02  2.927E-23  7.981E-14
1.019E+02  2.955E-23  7.985E-14
1.009E+02  2.983E-23  7.986E-14
1.000E+02  3.010E-23  7.985E-14
9.908E+01  3.037E-23  7.982E-14
9.817E+01  3.063E-23  7.976E-14
9.727E+01  3.088E-23  7.968E-14
9.638E+01  3.112E-23  7.957E-14
9.550E+01  3.136E-23  7.944E-14
9.462E+01  3.158E-23  7.928E-14
9.376E+01  3.180E-23  7.909E-14
9.290E+01  3.201E-23  7.888E-14
9.204E+01  3.221E-23  7.865E-14
9.120E+01  3.240E-23  7.838E-14
9.036E+01  3.258E-23  7.810E-14
8.954E+01  3.275E-23  7.779E-14
8.872E+01  3.291E-23  7.746E-14
8.790E+01  3.307E-23  7.710E-14
8.710E+01  3.321E-23  7.672E-14
8.630E+01  3.334E-23  7.632E-14
8.551E+01  3.346E-23  7.590E-14
8.472E+01  3.357E-23  7.545E-14
