Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 9.211E+01 = <U> 
     mmp83 = radfield
 4.111E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
7.943E+01  1.345E-22  2.834E-13
7.870E+01  1.366E-22  2.852E-13
7.798E+01  1.387E-22  2.870E-13
7.727E+01  1.409E-22  2.887E-13
7.656E+01  1.430E-22  2.904E-13
7.586E+01  1.451E-22  2.920E-13
7.516E+01  1.473E-22  2.937E-13
7.447E+01  1.494E-22  2.952E-13
7.379E+01  1.516E-22  2.968E-13
7.311E+01  1.538E-22  2.982E-13
7.244E+01  1.559E-22  2.997E-13
7.178E+01  1.581E-22  3.011E-13
7.112E+01  1.603E-22  3.024E-13
7.047E+01  1.625E-22  3.038E-13
6.982E+01  1.647E-22  3.051E-13
6.918E+01  1.670E-22  3.064E-13
6.855E+01  1.692E-22  3.076E-13
6.792E+01  1.714E-22  3.088E-13
6.730E+01  1.736E-22  3.099E-13
6.668E+01  1.758E-22  3.110E-13
6.607E+01  1.781E-22  3.121E-13
6.546E+01  1.803E-22  3.131E-13
6.486E+01  1.826E-22  3.141E-13
6.427E+01  1.848E-22  3.151E-13
