Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         4 = grain model
 4.000E-08 4.000E-01 2.250E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 7.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.115E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.225E+02  5.268E-23  1.711E-13
1.213E+02  5.380E-23  1.732E-13
1.202E+02  5.495E-23  1.752E-13
1.191E+02  5.612E-23  1.773E-13
1.180E+02  5.732E-23  1.795E-13
1.169E+02  5.854E-23  1.816E-13
1.159E+02  5.979E-23  1.838E-13
1.148E+02  6.105E-23  1.859E-13
1.138E+02  6.235E-23  1.881E-13
1.127E+02  6.367E-23  1.904E-13
1.117E+02  6.501E-23  1.926E-13
1.107E+02  6.638E-23  1.949E-13
1.096E+02  6.778E-23  1.971E-13
1.086E+02  6.919E-23  1.994E-13
1.076E+02  7.063E-23  2.017E-13
1.067E+02  7.210E-23  2.040E-13
1.057E+02  7.358E-23  2.063E-13
1.047E+02  7.509E-23  2.086E-13
1.038E+02  7.662E-23  2.109E-13
1.028E+02  7.816E-23  2.131E-13
1.019E+02  7.972E-23  2.154E-13
1.009E+02  8.131E-23  2.177E-13
1.000E+02  8.291E-23  2.199E-13
9.908E+01  8.452E-23  2.221E-13
9.817E+01  8.616E-23  2.244E-13
9.727E+01  8.781E-23  2.266E-13
9.638E+01  8.948E-23  2.288E-13
9.550E+01  9.117E-23  2.310E-13
9.462E+01  9.287E-23  2.331E-13
9.376E+01  9.459E-23  2.352E-13
9.290E+01  9.632E-23  2.374E-13
9.204E+01  9.807E-23  2.394E-13
9.120E+01  9.983E-23  2.415E-13
9.036E+01  1.016E-22  2.435E-13
8.954E+01  1.034E-22  2.456E-13
8.872E+01  1.052E-22  2.476E-13
8.790E+01  1.070E-22  2.495E-13
8.710E+01  1.089E-22  2.515E-13
8.630E+01  1.107E-22  2.534E-13
8.551E+01  1.126E-22  2.553E-13
8.472E+01  1.144E-22  2.572E-13
