Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.137E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
6.730E+02  7.902E-26  1.411E-15
6.668E+02  8.220E-26  1.454E-15
6.607E+02  8.552E-26  1.499E-15
6.546E+02  8.897E-26  1.545E-15
6.486E+02  9.257E-26  1.593E-15
6.427E+02  9.632E-26  1.642E-15
6.368E+02  1.002E-25  1.693E-15
6.310E+02  1.043E-25  1.745E-15
6.252E+02  1.085E-25  1.799E-15
6.194E+02  1.129E-25  1.855E-15
6.138E+02  1.175E-25  1.912E-15
6.081E+02  1.222E-25  1.972E-15
6.026E+02  1.272E-25  2.033E-15
5.970E+02  1.323E-25  2.096E-15
5.916E+02  1.377E-25  2.161E-15
5.861E+02  1.433E-25  2.227E-15
5.808E+02  1.491E-25  2.296E-15
5.754E+02  1.551E-25  2.367E-15
5.702E+02  1.614E-25  2.441E-15
5.649E+02  1.679E-25  2.516E-15
5.598E+02  1.747E-25  2.594E-15
5.546E+02  1.818E-25  2.675E-15
5.495E+02  1.892E-25  2.758E-15
5.445E+02  1.968E-25  2.843E-15
5.395E+02  2.048E-25  2.931E-15
5.346E+02  2.131E-25  3.022E-15
5.297E+02  2.217E-25  3.115E-15
5.248E+02  2.307E-25  3.212E-15
5.200E+02  2.401E-25  3.311E-15
5.152E+02  2.498E-25  3.414E-15
5.105E+02  2.599E-25  3.520E-15
5.058E+02  2.704E-25  3.629E-15
5.012E+02  2.814E-25  3.741E-15
4.966E+02  2.928E-25  3.857E-15
4.920E+02  3.046E-25  3.976E-15
4.875E+02  3.170E-25  4.099E-15
4.831E+02  3.298E-25  4.226E-15
4.786E+02  3.431E-25  4.357E-15
