Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         3 = grain model
 4.000E-08 4.000E-01 1.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 6.915E+01 = <U> 
     mmp83 = radfield
 3.075E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.355E+02  4.166E-23  1.498E-13
1.343E+02  4.254E-23  1.515E-13
1.330E+02  4.343E-23  1.533E-13
1.318E+02  4.431E-23  1.550E-13
1.306E+02  4.522E-23  1.567E-13
1.294E+02  4.614E-23  1.584E-13
1.282E+02  4.709E-23  1.602E-13
1.271E+02  4.806E-23  1.620E-13
1.259E+02  4.906E-23  1.638E-13
1.247E+02  5.008E-23  1.657E-13
1.236E+02  5.113E-23  1.676E-13
1.225E+02  5.221E-23  1.696E-13
1.213E+02  5.331E-23  1.716E-13
1.202E+02  5.444E-23  1.736E-13
1.191E+02  5.559E-23  1.757E-13
1.180E+02  5.677E-23  1.777E-13
1.169E+02  5.797E-23  1.798E-13
1.159E+02  5.919E-23  1.819E-13
1.148E+02  6.043E-23  1.840E-13
1.138E+02  6.170E-23  1.862E-13
1.127E+02  6.299E-23  1.883E-13
1.117E+02  6.430E-23  1.905E-13
1.107E+02  6.564E-23  1.927E-13
1.096E+02  6.700E-23  1.949E-13
1.086E+02  6.838E-23  1.971E-13
1.076E+02  6.979E-23  1.993E-13
1.067E+02  7.121E-23  2.015E-13
1.057E+02  7.265E-23  2.037E-13
1.047E+02  7.412E-23  2.059E-13
1.038E+02  7.560E-23  2.081E-13
1.028E+02  7.710E-23  2.102E-13
1.019E+02  7.861E-23  2.124E-13
1.009E+02  8.014E-23  2.146E-13
1.000E+02  8.169E-23  2.167E-13
9.908E+01  8.325E-23  2.188E-13
9.817E+01  8.483E-23  2.209E-13
9.727E+01  8.642E-23  2.230E-13
9.638E+01  8.803E-23  2.250E-13
9.550E+01  8.964E-23  2.271E-13
9.462E+01  9.127E-23  2.291E-13
9.376E+01  9.292E-23  2.311E-13
9.290E+01  9.457E-23  2.330E-13
9.204E+01  9.623E-23  2.350E-13
9.120E+01  9.791E-23  2.369E-13
9.036E+01  9.959E-23  2.387E-13
8.954E+01  1.013E-22  2.406E-13
8.872E+01  1.030E-22  2.424E-13
8.790E+01  1.047E-22  2.441E-13
8.710E+01  1.064E-22  2.459E-13
8.630E+01  1.082E-22  2.476E-13
8.551E+01  1.099E-22  2.493E-13
8.472E+01  1.117E-22  2.510E-13
8.395E+01  1.134E-22  2.526E-13
8.318E+01  1.152E-22  2.541E-13
8.241E+01  1.170E-22  2.557E-13
8.166E+01  1.187E-22  2.572E-13
8.091E+01  1.205E-22  2.587E-13
8.017E+01  1.223E-22  2.601E-13
7.943E+01  1.241E-22  2.615E-13
7.870E+01  1.259E-22  2.628E-13
7.798E+01  1.277E-22  2.641E-13
7.727E+01  1.295E-22  2.654E-13
7.656E+01  1.313E-22  2.666E-13
7.586E+01  1.331E-22  2.677E-13
7.516E+01  1.348E-22  2.688E-13
7.447E+01  1.366E-22  2.699E-13
7.379E+01  1.384E-22  2.709E-13
7.311E+01  1.402E-22  2.719E-13
7.244E+01  1.419E-22  2.727E-13
7.178E+01  1.437E-22  2.736E-13
7.112E+01  1.455E-22  2.744E-13
7.047E+01  1.472E-22  2.752E-13
6.982E+01  1.490E-22  2.759E-13
6.918E+01  1.507E-22  2.766E-13
6.855E+01  1.525E-22  2.773E-13
6.792E+01  1.542E-22  2.778E-13
6.730E+01  1.559E-22  2.784E-13
6.668E+01  1.577E-22  2.788E-13
6.607E+01  1.594E-22  2.793E-13
6.546E+01  1.611E-22  2.797E-13
6.486E+01  1.628E-22  2.800E-13
6.427E+01  1.644E-22  2.803E-13
